year,hires,terminations,net_change,net_change_percent
2000,211,26,185,87.68
2001,1082,197,885,81.79
2002,1012,162,850,83.99
2003,1088,194,894,82.17
2004,1087,197,890,81.88
2005,1038,171,867,83.53
2006,1069,174,895,83.72
2007,1058,143,915,86.48
2008,1061,140,921,86.80
2009,1094,149,945,86.38
2010,1050,123,927,88.29
2011,1057,109,948,89.69
2012,1059,104,955,90.18
2013,1042,92,950,91.17
2014,1014,85,929,91.62
2015,1011,76,935,92.48
2016,1076,67,1009,93.77
2017,1043,53,990,94.92
2018,1090,48,1042,95.60
2019,1038,48,990,95.38
2020,967,26,941,97.31
